Time,Time_24,Day,Congestion,Speed_kmh,Travel_Time,Area,Travel_Time_Seconds
12:00 AM,00:00,Sunday,0.0,35.0,17 min 11 s,City,1031
02:00 AM,02:00,Sunday,0.0,37.0,16 min 13 s,City,973
04:00 AM,04:00,Sunday,0.0,39.0,15 min 30 s,City,930
06:00 AM,06:00,Sunday,0.0,36.0,15 min 9 s,City,909
08:00 AM,08:00,Sunday,0.0,34.0,16 min 19 s,City,979
10:00 AM,10:00,Sunday,2.0,32.0,18 min 42 s,City,1122
12:00 PM,12:00,Sunday,7.0,31.0,21 min 33 s,City,1293
02:00 PM,14:00,Sunday,13.0,29.0,22 min 1 s,City,1321
04:00 PM,16:00,Sunday,31.0,28.0,23 min 39 s,City,1419
06:00 PM,18:00,Sunday,38.0,25.0,23 min 58 s,City,1438
08:00 PM,20:00,Sunday,35.0,27.0,21 min 56 s,City,1316
10:00 PM,22:00,Sunday,15.0,30.0,18 min 10 s,City,1090
12:00 AM,00:00,Monday,0.0,37.0,16 min 2 s,City,962
02:00 AM,02:00,Monday,0.0,39.0,15 min 30 s,City,930
04:00 AM,04:00,Monday,0.0,40.0,14 min 58 s,City,898
06:00 AM,06:00,Monday,0.0,41.0,14 min 38 s,City,878
08:00 AM,08:00,Monday,11.0,28.0,16 min 5 s,City,965
10:00 AM,10:00,Monday,28.0,25.0,19 min 41 s,City,1181
12:00 PM,12:00,Monday,41.0,25.0,24 min 40 s,City,1480
02:00 PM,14:00,Monday,40.0,24.0,24 min 44 s,City,1484
04:00 PM,16:00,Monday,38.0,24.0,25 min 8 s,City,1508
06:00 PM,18:00,Monday,59.0,21.0,28 min 59 s,City,1739
08:00 PM,20:00,Monday,51.0,26.0,22 min 54 s,City,1374
10:00 PM,22:00,Monday,13.0,30.0,18 min 40 s,City,1120
12:00 AM,00:00,Tuesday,0.0,36.0,16 min 29 s,City,989
02:00 AM,02:00,Tuesday,0.0,38.0,15 min 54 s,City,954
04:00 AM,04:00,Tuesday,0.0,39.0,15 min 18 s,City,918
06:00 AM,06:00,Tuesday,0.0,37.0,15 min 3 s,City,903
08:00 AM,08:00,Tuesday,11.0,27.0,16 min 32 s,City,992
10:00 AM,10:00,Tuesday,28.0,24.0,24 min 25 s,City,1465
12:00 PM,12:00,Tuesday,42.0,24.0,24 min 49 s,City,1489
02:00 PM,14:00,Tuesday,43.0,23.0,24 min 30 s,City,1470
04:00 PM,16:00,Tuesday,43.0,23.0,25 min 31 s,City,1531
06:00 PM,18:00,Tuesday,67.0,20.0,28 min 5 s,City,1685
08:00 PM,20:00,Tuesday,59.0,25.0,24 min 17 s,City,1457
10:00 PM,22:00,Tuesday,16.0,29.0,19 min 2 s,City,1142
12:00 AM,00:00,Wednesday,0.0,36.0,16 min 40 s,City,1000
02:00 AM,02:00,Wednesday,0.0,37.0,15 min 27 s,City,927
04:00 AM,04:00,Wednesday,0.0,39.0,15 min 15 s,City,915
06:00 AM,06:00,Wednesday,0.0,35.0,15 min 1 s,City,901
08:00 AM,08:00,Wednesday,10.0,28.0,16 min 57 s,City,1017
10:00 AM,10:00,Wednesday,27.0,24.0,24 min 35 s,City,1475
12:00 PM,12:00,Wednesday,41.0,23.0,25 min 13 s,City,1513
02:00 PM,14:00,Wednesday,44.0,23.0,25 min 59 s,City,1559
04:00 PM,16:00,Wednesday,45.0,23.0,26 min 29 s,City,1589
06:00 PM,18:00,Wednesday,66.0,20.0,29 min 51 s,City,1791
08:00 PM,20:00,Wednesday,60.0,25.0,25 min 13 s,City,1513
10:00 PM,22:00,Wednesday,17.0,29.0,19 min 31 s,City,1171
12:00 AM,00:00,Thursday,0.0,36.0,16 min 41 s,City,1001
02:00 AM,02:00,Thursday,0.0,38.0,15 min 19 s,City,919
04:00 AM,04:00,Thursday,0.0,39.0,15 min 8 s,City,908
06:00 AM,06:00,Thursday,0.0,35.0,15 min 40 s,City,940
08:00 AM,08:00,Thursday,9.0,28.0,16 min 48 s,City,1008
10:00 AM,10:00,Thursday,26.0,25.0,24 min 9 s,City,1449
12:00 PM,12:00,Thursday,39.0,25.0,25 min 56 s,City,1556
02:00 PM,14:00,Thursday,40.0,24.0,25 min 55 s,City,1555
04:00 PM,16:00,Thursday,41.0,23.0,25 min 39 s,City,1539
06:00 PM,18:00,Thursday,61.0,21.0,30 min 49 s,City,1849
08:00 PM,20:00,Thursday,56.0,24.0,25 min 20 s,City,1520
10:00 PM,22:00,Thursday,15.0,31.0,19 min 1 s,City,1141
12:00 AM,00:00,Friday,0.0,36.0,16 min 42 s,City,1002
02:00 AM,02:00,Friday,0.0,38.0,16 min,City,960
04:00 AM,04:00,Friday,0.0,39.0,15 min 29 s,City,929
06:00 AM,06:00,Friday,0.0,35.0,16 min 6 s,City,966
08:00 AM,08:00,Friday,0.0,28.0,17 min 25 s,City,1045
10:00 AM,10:00,Friday,10.0,25.0,24 min 34 s,City,1474
12:00 PM,12:00,Friday,38.0,25.0,25 min 35 s,City,1535
02:00 PM,14:00,Friday,44.0,24.0,25 min 33 s,City,1533
04:00 PM,16:00,Friday,46.0,23.0,26 min 51 s,City,1611
06:00 PM,18:00,Friday,67.0,20.0,29 min 39 s,City,1779
08:00 PM,20:00,Friday,63.0,25.0,25 min 26 s,City,1526
10:00 PM,22:00,Friday,21.0,32.0,25 min 53 s,City,1553
12:00 AM,00:00,Saturday,0.0,36.0,16 min 50 s,City,1010
